PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
Bird,Parakeet,103,Black,Large,16.357607740667568,1,0,43,335,0,0
Rabbit,Labrador,8,Black,Medium,12.6255819187094,0,0,50,93,0,1
Dog,Parakeet,153,Gray,Small,9.6244066297977,0,0,3,79,0,0
Bird,Golden Retriever,91,Gray,Medium,20.77002066195792,0,0,59,37,1,0
Bird,Golden Retriever,174,Gray,Medium,7.02592347643786,1,0,28,407,0,1
Rabbit,Labrador,87,Brown,Small,24.169508300079475,0,0,46,227,0,0
Dog,Poodle,158,Brown,Large,24.288077662256683,1,0,64,482,1,0
Dog,Labrador,175,Black,Medium,13.042581689611795,1,1,70,133,0,1
Bird,Persian,177,White,Small,9.222892316379784,1,0,47,195,1,0
Cat,Siamese,175,Black,Medium,9.232467266130683,1,0,14,465,1,1
Bird,Poodle,84,Orange,Large,14.986448395890092,1,0,7,389,0,0
Bird,Labrador,82,Brown,Large,21.867797517731404,1,0,74,281,0,1
Bird,Parakeet,146,Gray,Large,11.407192038821904,1,0,79,100,0,0
Bird,Poodle,68,Brown,Small,18.691257018274797,1,0,31,474,0,0
Rabbit,Poodle,161,Gray,Small,12.092049356895236,1,0,81,424,0,0
Dog,Labrador,127,Orange,Large,9.831172485390116,1,1,51,74,0,0
Rabbit,Poodle,164,Orange,Small,1.7209259615580308,1,0,29,293,1,0
Rabbit,Parakeet,82,Brown,Large,1.1135090663263283,0,0,15,207,0,0
Rabbit,Golden Retriever,147,Gray,Small,7.58902265712813,1,1,76,82,0,0
Bird,Poodle,156,Orange,Large,12.785782317228868,1,0,25,426,0,0
Cat,Golden Retriever,168,Black,Medium,25.68657385349975,1,0,61,436,0,1
Dog,Parakeet,84,Black,Large,24.156043044982336,1,1,41,142,0,0
Cat,Labrador,113,Gray,Large,8.747792615051708,1,0,69,473,0,1
Rabbit,Siamese,76,Brown,Small,8.09167284654468,1,0,4,55,0,0
Rabbit,Poodle,122,Orange,Small,7.592340061030796,0,1,57,360,1,0
Cat,Siamese,143,Brown,Small,10.837882875337144,0,0,31,439,0,0
Cat,Parakeet,41,Black,Small,15.447762867288876,0,1,3,286,0,0
Cat,Poodle,167,Orange,Small,13.72136538891569,1,0,67,210,0,0
Rabbit,Golden Retriever,2,Brown,Small,7.329922764663319,1,0,50,440,0,1
Rabbit,Persian,29,White,Medium,4.783090888364923,1,0,17,178,0,1
Dog,Siamese,105,Gray,Large,1.3647565620996662,1,1,60,407,1,0
Dog,Poodle,51,Gray,Large,5.464933921328612,1,0,74,57,1,0
Rabbit,Siamese,75,White,Large,21.455334735629428,1,0,66,72,0,0
Cat,Poodle,10,Black,Medium,8.065518511021905,1,0,88,214,0,1
Cat,Labrador,142,Orange,Large,14.589452493523783,1,0,75,387,0,1
Dog,Golden Retriever,51,Gray,Medium,18.147733318774097,1,0,24,265,0,1
Rabbit,Siamese,118,White,Medium,26.718386182116607,0,1,87,446,0,0
Dog,Persian,121,White,Medium,26.776797853409164,1,0,32,72,0,1
Dog,Persian,39,Black,Large,22.62627827675941,1,0,87,466,0,0
Bird,Parakeet,28,Black,Medium,2.019552769406541,0,0,19,270,0,0
Bird,Poodle,3,Brown,Large,17.677042153477032,1,0,66,498,1,1
Bird,Siamese,84,Gray,Large,23.810920654113687,1,0,60,353,1,0
Cat,Parakeet,155,Brown,Small,1.501353298137533,1,0,66,233,0,0
Rabbit,Siamese,117,White,Small,16.94085379604077,0,0,15,318,0,0
Rabbit,Poodle,2,Orange,Medium,25.87516022779485,1,0,85,18,1,1
Rabbit,Persian,93,Orange,Medium,14.748960199425742,1,0,35,112,0,1
Rabbit,Labrador,166,Black,Large,1.119079884026005,0,0,69,62,1,0
Bird,Persian,131,Orange,Medium,1.3193873917326164,1,0,27,371,0,1
Cat,Parakeet,144,Orange,Medium,13.082445084998763,0,1,88,183,0,0
Cat,Golden Retriever,94,Orange,Large,5.495251355085882,0,0,7,276,0,0
Bird,Labrador,40,White,Medium,20.269069055704527,0,0,6,161,1,1
Cat,Parakeet,2,Orange,Medium,21.555178682278463,0,0,33,242,0,1
Bird,Poodle,81,Orange,Large,6.15851406835823,1,0,58,144,0,0
Rabbit,Labrador,169,Orange,Large,26.76746536721006,0,0,49,145,0,0
Bird,Parakeet,12,Brown,Small,13.81532750438885,1,0,17,80,1,1
Rabbit,Poodle,163,White,Large,5.142531320165788,1,0,42,321,1,0
Rabbit,Persian,65,Black,Small,23.16329634401247,1,0,72,434,1,0
Dog,Golden Retriever,55,Brown,Medium,23.90926050048641,1,0,40,320,1,1
Bird,Poodle,45,Gray,Large,19.53956870729827,1,0,46,42,0,0
Dog,Siamese,101,White,Large,25.75050104287404,1,0,71,312,0,0
Bird,Poodle,62,White,Large,22.38381618888947,0,0,70,393,0,0
Bird,Poodle,49,Gray,Medium,26.583966379582726,1,0,68,292,0,1
Dog,Golden Retriever,127,Gray,Small,13.582753406078904,1,1,1,175,1,0
Dog,Siamese,153,Gray,Medium,22.68031671488383,1,1,79,375,1,0
Bird,Parakeet,23,Black,Medium,29.992795339442285,0,0,89,68,0,1
Cat,Parakeet,152,Orange,Large,22.02300472806896,1,0,52,55,0,0
Rabbit,Poodle,38,White,Small,4.311329626876833,1,0,35,118,1,0
Dog,Siamese,28,Orange,Medium,16.031242950446305,1,0,69,203,0,1
Rabbit,Siamese,21,Orange,Large,18.03308594604781,1,0,5,419,0,1
Cat,Golden Retriever,107,Gray,Medium,6.052109577070339,0,1,17,414,0,0
Cat,Persian,146,Black,Medium,28.92385739116309,1,0,53,54,0,1
Cat,Parakeet,164,Brown,Large,6.091813551403873,0,1,52,37,0,0
Dog,Golden Retriever,99,Black,Large,6.14917967168346,0,0,14,242,0,0
Cat,Labrador,173,Orange,Small,27.539847001262093,1,0,29,200,0,1
Dog,Parakeet,119,Black,Medium,14.49095756052846,0,0,8,235,1,0
Cat,Golden Retriever,73,Gray,Large,2.83246009896097,0,1,1,473,0,0
Rabbit,Parakeet,122,Brown,Large,18.347437498217328,0,0,29,14,0,0
Rabbit,Persian,30,Gray,Small,18.452964110358387,1,0,36,143,1,0
Bird,Labrador,108,Brown,Small,2.870522001910292,1,1,51,76,0,0
Rabbit,Persian,98,Orange,Large,29.2031523733762,1,0,37,472,0,0
Bird,Labrador,32,Brown,Small,16.776868993542692,1,0,69,477,1,1
Rabbit,Poodle,156,Brown,Large,17.234075943213163,0,0,53,308,0,0
Dog,Golden Retriever,172,Brown,Medium,16.08334702056944,1,0,52,439,1,1
Rabbit,Labrador,79,Black,Small,18.71122160969398,1,0,88,262,0,1
Bird,Persian,41,Black,Medium,8.664692830438893,1,0,83,184,0,1
Bird,Parakeet,63,Orange,Medium,9.329999091270384,0,0,12,54,0,0
Cat,Labrador,23,Brown,Medium,15.82883360408785,0,0,52,307,0,1
Dog,Golden Retriever,104,White,Large,24.39388978814381,1,0,1,3,1,0
Rabbit,Labrador,75,Orange,Medium,2.446072718331187,1,0,7,298,0,1
Cat,Siamese,48,Brown,Medium,18.49872215438713,1,1,17,39,1,0
Rabbit,Parakeet,160,Brown,Medium,24.396566132683105,1,1,43,229,1,0
Rabbit,Golden Retriever,57,Black,Large,5.550600889079588,0,0,71,376,0,0
Cat,Golden Retriever,118,Orange,Medium,1.4356537174364226,1,0,17,285,1,1
Cat,Poodle,100,Brown,Medium,10.068685559102285,1,0,59,137,0,1
Cat,Persian,124,Brown,Small,18.056167495158345,0,0,3,477,0,0
Cat,Poodle,161,Orange,Large,5.010212028737684,0,0,29,102,1,0
Cat,Golden Retriever,152,White,Medium,13.35754875820208,0,0,22,6,0,0
Rabbit,Parakeet,167,Orange,Small,17.01732342385406,0,0,38,163,0,0
Cat,Labrador,34,Orange,Large,18.3676097479622,1,0,54,418,0,1
Dog,Labrador,156,White,Large,8.957939909010879,1,0,50,471,0,1
Bird,Parakeet,165,Orange,Large,12.60085944360245,1,0,69,422,0,0
Cat,Golden Retriever,7,Brown,Large,23.571837642959203,1,0,30,419,0,1
Cat,Labrador,165,Orange,Large,28.29522612949988,1,0,23,364,0,1
Rabbit,Labrador,56,White,Large,25.99452960242946,1,0,85,275,0,1
Cat,Labrador,65,Gray,Medium,17.364221550269527,0,1,47,48,0,0
Cat,Persian,47,Orange,Medium,12.89849128537445,1,0,21,95,0,1
Cat,Persian,148,Black,Medium,10.655741816771128,1,0,20,58,0,1
Rabbit,Siamese,19,Brown,Medium,4.623740416436524,0,0,23,230,1,1
Cat,Poodle,157,Brown,Small,4.089986169267276,1,0,68,176,0,0
Bird,Parakeet,146,Black,Medium,20.962371122496076,1,0,21,89,0,1
Rabbit,Parakeet,163,Black,Large,8.534038068963651,1,0,21,281,0,0
Bird,Parakeet,171,Orange,Medium,8.385188906540957,0,0,1,35,0,0
Rabbit,Siamese,126,Black,Medium,29.947656579855785,1,0,15,170,0,1
Cat,Persian,139,Gray,Large,6.449852778340067,1,0,17,125,1,0
Bird,Golden Retriever,49,White,Medium,5.29373302517606,0,0,51,482,1,0
Rabbit,Golden Retriever,113,Black,Medium,3.861871605037698,0,0,63,298,1,0
Dog,Siamese,38,Black,Medium,17.81435500983709,1,1,14,354,1,0
Cat,Golden Retriever,64,Gray,Small,19.20805095406094,0,0,59,203,0,0
Rabbit,Parakeet,69,Brown,Medium,11.591609861449577,1,0,83,288,0,1
Dog,Poodle,136,Brown,Large,16.526986729832565,1,0,50,355,1,0
Rabbit,Labrador,162,Orange,Large,23.863586397402464,0,0,34,461,0,0
Dog,Persian,176,Gray,Medium,24.725020881330703,0,0,6,96,1,0
Cat,Persian,116,White,Medium,28.7794501957538,1,0,49,237,1,1
Bird,Siamese,65,White,Medium,24.903771591763363,0,0,6,172,1,0
Dog,Persian,31,Gray,Large,17.380401664805373,0,0,69,300,0,0
Rabbit,Parakeet,132,White,Large,6.210052009268534,1,1,7,87,1,0
Cat,Golden Retriever,113,Brown,Small,3.8931431733824295,1,0,77,398,0,0
Dog,Parakeet,109,White,Small,2.580844807414917,1,0,51,350,0,0
Rabbit,Siamese,178,White,Small,20.32924912177613,0,0,1,16,0,0
Rabbit,Parakeet,69,Gray,Large,24.4185514065418,1,0,13,139,1,0
Rabbit,Golden Retriever,158,Gray,Small,15.751834569838293,1,0,43,253,1,0
